Department,Link to Pay Plan,Last Update,Population (2023),County,Shift,Sign-on Bonus,"Entry
0-12 months","1 Year
12-24 months","2 Years
24-36 months","3 Years
36-48 months","4 Years
48-60 months","5 Years
60-72 months","6 Years
72-84 months","7 Years
84-96 months","8 Years
96-108 months","9 Years
108-120 months","10 Years
120-132 months","11 Years
132-144 months","12 Years
144-156 months","13 Years
156-168 months","14 Years
168-180 months","15 Years
180-192 months","16 Years
192-204 months","17 Years
204-216 months","18 Years
216-228 months","19 Years
228-240 months","20 Years
240+ months",5 Year Total,10 Year Total,15 Year Total,20 Year Total,Department,Coordinates
Frisco FD,Pay Plan,08-04-2025,"225,007",Collin,24/48,,"$85,000.00","$87,550.00","$90,117.00","$92,882.00","$95,668.00","$98,538.00","$101,494.00","$105,047.00","$105,047.00","$105,047.00","$105,047.00","$105,047.00","$105,047.00","$105,047.00","$105,047.00","$105,047.00","$105,047.00","$105,047.00","$105,047.00","$105,047.00","$105,047.00","$549,755.00","$1,071,437.00","$1,596,672.00","$2,121,907.00",Frisco FD,"33.149185073202766, -96.80977555516513"
Garland FD,Pay Plan,08-04-2025,"243,470",Dallas,,,"$77,575.00","$82,478.00","$86,740.00","$90,184.00","$90,184.00","$97,008.00","$97,008.00","$98,913.00","$98,913.00","$100,214.00","$100,214.00","$100,214.00","$100,214.00","$100,214.00","$100,214.00","$100,214.00","$100,214.00","$100,214.00","$100,214.00","$100,214.00","$100,214.00","$524,169.00","$1,019,431.00","$1,520,501.00","$2,021,571.00",Garland FD,"32.910197223357486, -96.60916126226988"
Grand Prairie FD,Pay Plan,08-04-2025,"193,835",Dallas,48/96,,"$80,062.00","$82,465.00","$86,588.00","$90,929.00","$95,486.00","$100,261.00","$102,767.00","$102,767.00","$102,767.00","$102,767.00","$102,767.00","$102,767.00","$102,767.00","$102,767.00","$102,767.00","$102,767.00","$102,767.00","$102,767.00","$102,767.00","$102,767.00","$102,767.00","$535,791.00","$1,049,626.00","$1,563,461.00","$2,077,296.00",Grand Prairie FD,"32.745117408052295, -97.00982556325793"
Grapevine FD,Pay Plan,10-24-2025,"51,320",Tarrant,48/96,,"$81,381.41","$85,456.47","$89,711.32","$94,205.87","$98,910.17","$98,910.17","$98,910.17","$98,910.17","$98,910.17","$98,910.17","$98,910.17","$98,910.17","$98,910.17","$98,910.17","$98,910.17","$98,910.17","$98,910.17","$98,910.17","$98,910.17","$98,910.17","$98,910.17","$548,575.41","$1,043,126.26","$1,537,677.11","$2,032,227.96",Grapevine FD,"32.93106204563792, -97.08728222299617"
Haltom City FD,,08-07-2025,"45,290",Tarrant,,,"$78,813.00",,,,,,,,,,,,,,,,,,,,,"$78,813.00","$78,813.00","$78,813.00","$78,813.00",Haltom City FD,"32.810014710660646, -97.26642929547452"
Highland Park DPS,,08-04-2025,"8,642",Dallas,24/48,,"$73,677.50","$73,677.50","$73,677.50","$73,677.50","$73,677.50","$73,677.50","$73,677.50","$73,677.50","$73,677.50","$73,677.50","$73,677.50","$73,677.50","$73,677.50","$73,677.50","$73,677.50","$73,677.50","$73,677.50","$73,677.50","$73,677.50","$73,677.50","$73,677.50","$442,065.00","$810,452.50","$1,178,840.00","$1,547,227.50",Highland Park DPS,"32.82846744162392, -96.79659561968813"
Hurst FD,Pay Plan,08-07-2025,"39,304",Tarrant,48/96,,"$82,487.81","$90,342.35","$90,342.35","$90,342.35","$90,342.35","$90,342.35","$90,342.35","$90,342.35","$90,342.35","$90,342.35","$90,342.35","$90,342.35","$90,342.35","$90,342.35","$90,342.35","$90,342.35","$90,342.35","$90,342.35","$90,342.35","$90,342.35","$90,342.35","$534,199.56","$985,911.31","$1,437,623.06","$1,889,334.81",Hurst FD,"32.85321550862505, -97.18585936165144"
Irving FD,Pay Plan,08-04-2025,"254,373",Dallas,,,"$85,632.00","$89,916.00","$94,416.00","$99,132.00","$104,088.00","$104,088.00","$104,088.00","$104,088.00","$104,088.00","$104,088.00","$104,088.00","$104,088.00","$104,088.00","$104,088.00","$104,088.00","$104,088.00","$104,088.00","$104,088.00","$104,088.00","$104,088.00","$104,088.00","$577,272.00","$1,097,712.00","$1,618,152.00","$2,138,592.00",Irving FD,"32.81472544244373, -96.95810999598598"
Keller FD,Pay Plan,09-27-2025,"46,316",Tarrant,24/48,,"$76,061.00","$77,576.00","$79,119.00","$80,692.00","$82,293.00","$83,953.00","$85,642.00","$87,360.00","$89,107.00","$90,884.00","$90,884.00","$90,884.00","$90,884.00","$90,884.00","$90,884.00","$90,884.00","$90,884.00","$90,884.00","$90,884.00","$90,884.00","$90,884.00","$479,694.00","$923,571.00","$1,377,991.00","$1,832,411.00",Keller FD,"32.92984661037833, -97.2271260817352"
Lake Cities FD,Pay Plan,10-23-2025,"42,271",Denton,48/96,,"$73,235.31","$75,425.07","$77,675.65","$79,987.07","$82,359.31","$84,822.79","$87,347.09","$87,347.09","$87,347.09","$87,347.09","$87,347.09","$87,347.09","$87,347.09","$87,347.09","$87,347.09","$87,347.09","$87,347.09","$87,347.09","$87,347.09","$87,347.09","$87,347.09","$473,505.20","$910,240.65","$1,346,976.10","$1,783,711.55",Lake Cities FD,"33.13057302700579, -97.05206381138511"
Lewisville FD,Pay Plan,10-23-2025,"133,553",Denton,24/48,,"$82,034.00","$85,279.00","$88,660.00","$92,199.00","$95,875.00","$99,659.00","$103,641.00","$103,641.00","$103,641.00","$103,641.00","$103,641.00","$103,641.00","$103,641.00","$103,641.00","$103,641.00","$103,641.00","$103,641.00","$103,641.00","$103,641.00","$103,641.00","$103,641.00","$543,706.00","$1,061,911.00","$1,580,116.00","$2,098,321.00",Lewisville FD,"33.04368114797534, -97.02105707319502"
Little Elm FD,Pay Plan,08-04-2025,"100,000",Denton,48/96,,"$78,759.05","$81,476.99","$84,194.93","$86,912.87","$89,630.82","$92,348.76","$95,066.70","$95,066.70","$95,066.70","$95,066.70","$95,066.70","$95,066.70","$95,066.70","$95,066.70","$95,066.70","$95,066.70","$95,066.70","$95,066.70","$95,066.70","$95,066.70","$95,066.70","$513,323.42","$988,656.92","$1,463,990.42","$1,939,323.92",Little Elm FD,"33.159065232444064, -96.93939342156477"
Mansfield FD,Pay Plan,10-23-2025,"80,803",Tarrant,48/96,,"$81,000.00","$85,050.00","$89,303.00","$93,768.00","$98,456.00","$103,379.00","$103,379.00","$103,379.00","$103,379.00","$103,379.00","$103,379.00","$103,379.00","$103,379.00","$103,379.00","$103,379.00","$103,379.00","$103,379.00","$103,379.00","$103,379.00","$103,379.00","$103,379.00","$550,956.00","$1,067,851.00","$1,584,746.00","$2,101,641.00",Mansfield FD,"32.5663698468401, -97.12499921728859"
McKinney FD,Pay Plan,08-04-2025,"213,509",Collin,,,"$83,614.03","$86,996.66","$90,379.28","$93,761.91","$97,144.54","$100,527.17","$103,909.80","$103,909.80","$103,909.80","$103,909.80","$103,909.80","$103,909.80","$103,909.80","$103,909.80","$103,909.80","$103,909.80","$103,909.80","$103,909.80","$103,909.80","$103,909.80","$103,909.80","$552,423.59","$1,071,972.59","$1,591,521.59","$2,111,070.59",McKinney FD,"33.22390361626024, -96.64063967628549"
Mesquite FD,Pay Plan,08-04-2025,"147,317",Dallas,,,"$77,548.43","$81,425.85","$85,497.14","$89,772.00","$94,260.60","$98,973.63","$103,922.31","$103,922.31","$103,922.31","$103,922.31","$103,922.31","$103,922.31","$103,922.31","$103,922.31","$103,922.31","$103,922.31","$103,922.31","$103,922.31","$103,922.31","$103,922.31","$103,922.31","$527,477.65","$1,047,089.20","$1,566,700.75","$2,086,312.30",Mesquite FD,"32.78290966807912, -96.60222597942031"
Midlothian FD,Pay Plan,10-24-2025,"44,104",Ellis,,,"$76,190.07","$79,237.67","$82,407.17","$85,703.46","$89,131.60","$92,696.86","$96,404.74","$96,404.74","$96,404.74","$96,404.74","$96,404.74","$96,404.74","$96,404.74","$96,404.74","$96,404.74","$96,404.74","$96,404.74","$96,404.74","$96,404.74","$96,404.74","$96,404.74","$505,366.83","$987,390.53","$1,469,414.23","$1,951,437.93",Midlothian FD,"32.48326295390813, -96.99376259260033"
North Richland Hills FD,Pay Plan,08-04-2025,"70,658",Tarrant,24/48,,"$81,565.00","$84,828.00","$88,221.00","$90,868.00","$93,594.00","$96,402.00","$96,402.00","$96,402.00","$96,402.00","$96,402.00","$96,402.00","$96,402.00","$96,402.00","$96,402.00","$96,402.00","$96,402.00","$96,402.00","$96,402.00","$96,402.00","$96,402.00","$96,402.00","$535,478.00","$1,017,488.00","$1,499,498.00","$1,981,508.00",North Richland Hills FD,"32.827213849136186, -97.21722078443254"
Plano FD,Pay Plan,09-25-2025,"290,190",Collin,24/72,,"$80,862.00","$87,121.00","$93,380.00","$99,639.00","$105,898.00","$105,898.00","$105,898.00","$105,898.00","$105,898.00","$105,898.00","$105,898.00","$105,898.00","$105,898.00","$105,898.00","$105,898.00","$105,898.00","$105,898.00","$105,898.00","$105,898.00","$105,898.00","$105,898.00","$572,798.00","$1,102,288.00","$1,631,778.00","$2,161,268.00",Plano FD,"33.02565258857293, -96.69988136981769"
Princeton FD,Pay Plan,08-04-2025,"28,027",Collin,,,"$73,972.89","$76,192.07","$78,477.83","$80,832.17","$83,257.14","$85,754.85","$85,754.85","$85,754.85","$85,754.85","$85,754.85","$85,754.85","$85,754.85","$85,754.85","$85,754.85","$85,754.85","$85,754.85","$85,754.85","$85,754.85","$85,754.85","$85,754.85","$85,754.85","$478,486.95","$907,261.20","$1,336,035.45","$1,764,809.70",Princeton FD,"33.1801973834173, -96.49528101830363"
Prosper FD,Pay Plan,10-23-2025,"41,660",Collin,48/96,,"$79,000.00","$81,370.00","$83,811.10","$86,325.43","$88,915.20","$91,582.65","$94,330.13","$94,330.13","$94,330.13","$94,330.13","$94,330.13","$94,330.13","$94,330.13","$94,330.13","$94,330.13","$94,330.13","$94,330.13","$94,330.13","$94,330.13","$94,330.13","$94,330.13","$511,004.38","$982,655.03","$1,454,305.68","$1,925,956.33",Prosper FD,"33.240739005983805, -96.81332926999734"
Richardson FD,,08-07-2025,"117,435",Dallas,48/96,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,Richardson FD,"32.950215277027354, -96.72870480854318"
Roanoke FD,Pay Plan,08-07-2025,"10,798",Denton,48/96,,"$79,768.00","$79,768.00","$79,768.00","$79,768.00","$79,768.00","$79,768.00","$79,768.00","$79,768.00","$79,768.00","$79,768.00","$79,768.00","$79,768.00","$79,768.00","$79,768.00","$79,768.00","$79,768.00","$79,768.00","$79,768.00","$79,768.00","$79,768.00","$79,768.00","$478,608.00","$877,448.00","$1,276,288.00","$1,675,128.00",Roanoke FD,"33.00532769697098, -97.23296058141482"
Rockwall FD,Pay Plan,10-23-2025,"52,918",Rockwall,48/96,,"$73,097.39","$76,743.58","$80,621.27","$84,672.59","$88,897.54","$93,342.42","$93,342.42","$93,342.42","$93,342.42","$93,342.42","$93,342.42","$93,342.42","$93,342.42","$93,342.42","$93,342.42","$93,342.42","$93,342.42","$93,342.42","$93,342.42","$93,342.42","$93,342.42","$497,374.79","$964,086.89","$1,430,798.99","$1,897,511.09",Rockwall FD,"32.924661779561966, -96.4584950079422"
Rowlett FD,Pay Plan,08-04-2025,"66,813",Dallas,48/96,,"$77,453.40","$80,299.20","$83,144.70","$85,990.80","$88,836.00","$91,682.10","$91,682.10","$91,682.10","$91,682.10","$91,682.10","$91,682.10","$91,682.10","$91,682.10","$91,682.10","$91,682.10","$91,682.10","$91,682.10","$91,682.10","$91,682.10","$91,682.10","$91,682.10","$507,406.20","$965,816.70","$1,424,227.20","$1,882,637.70",Rowlett FD,"32.90294738572583, -96.56987677558539"
Sachse FD,Pay Plan,08-04-2025,"32,294",Dallas,24/48,,"$72,100.00","$74,623.50","$77,235.32","$79,938.56","$82,736.41","$85,632.18","$88,629.31","$88,629.31","$88,629.31","$88,629.31","$88,629.31","$88,629.31","$88,629.31","$88,629.31","$88,629.31","$88,629.31","$88,629.31","$88,629.31","$88,629.31","$88,629.31","$88,629.31","$472,265.97","$915,412.52","$1,358,559.07","$1,801,705.62",Sachse FD,"32.97590363648885, -96.58417450570093"
Saginaw FD,Pay Plan,10-23-2025,"24,450",Tarrant,48/96,,"$72,120.00","$74,284.00","$76,512.00","$78,808.00","$81,172.00","$83,607.00","$86,115.00","$88,699.00","$91,360.00","$91,360.00","$91,360.00","$91,360.00","$91,360.00","$91,360.00","$91,360.00","$91,360.00","$91,360.00","$91,360.00","$91,360.00","$91,360.00","$91,360.00","$466,503.00","$915,397.00","$1,372,197.00","$1,828,997.00",Saginaw FD,"32.85926858683183, -97.37441979781407"
Sherman FD,Pay Plan,08-04-2025,"47,473",Grayson,,,"$49,479.96","$54,578.16","$55,332.60","$56,087.04","$56,780.52","$58,424.28","$58,424.28","$58,424.28","$58,424.28","$58,424.28","$58,424.28","$58,424.28","$58,424.28","$58,424.28","$58,424.28","$58,424.28","$58,424.28","$58,424.28","$58,424.28","$58,424.28","$58,424.28","$330,682.56","$622,803.96","$914,925.36","$1,207,046.76",Sherman FD,"33.63401380956214, -96.60881913394553"
Southlake FD,Pay Plan,08-07-2025,"31,137",Tarrant,,,"$81,989.95","$81,989.95","$81,989.95","$81,989.95","$81,989.95","$81,989.95","$81,989.95","$81,989.95","$81,989.95","$81,989.95","$81,989.95","$81,989.95","$81,989.95","$81,989.95","$81,989.95","$81,989.95","$81,989.95","$81,989.95","$81,989.95","$81,989.95","$81,989.95","$491,939.70","$901,889.45","$1,311,839.20","$1,721,788.95",Southlake FD,"32.947538299300064, -97.13326283838838"
Terrell FD,Pay Plan,08-04-2025,"21,480",Kaufman,48/96,,"$64,480.00","$67,381.60","$70,413.77","$73,582.39","$76,893.60","$80,353.81","$80,353.81","$80,353.81","$80,353.81","$80,353.81","$80,353.81","$80,353.81","$80,353.81","$80,353.81","$80,353.81","$80,353.81","$80,353.81","$80,353.81","$80,353.81","$80,353.81","$80,353.81","$433,105.17","$834,874.22","$1,236,643.27","$1,638,412.32",Terrell FD,"32.7377480891583, -96.27552356575748"
The Colony FD,Pay Plan,08-04-2025,"45,471",Denton,,,"$78,559.34","$80,918.91","$83,347.53","$85,848.19","$88,423.91","$91,077.68","$93,812.50","$96,628.38","$96,628.38","$96,628.38","$96,628.38","$96,628.38","$96,628.38","$96,628.38","$96,628.38","$96,628.38","$96,628.38","$96,628.38","$96,628.38","$96,628.38","$96,628.38","$508,175.56","$988,501.58","$1,471,643.48","$1,954,785.38",The Colony FD,"33.080460834831804, -96.8858351059237"
University Park FD,Pay Plan,08-07-2025,"24,954",Dallas,,,"$79,595.00","$87,747.00","$92,130.00","$96,747.00","$96,747.00","$96,747.00","$96,747.00","$96,747.00","$96,747.00","$96,747.00","$96,747.00","$96,747.00","$96,747.00","$96,747.00","$96,747.00","$96,747.00","$96,747.00","$96,747.00","$96,747.00","$96,747.00","$96,747.00","$549,713.00","$1,033,448.00","$1,517,183.00","$2,000,918.00",University Park FD,"32.84567834788973, -96.79712711288762"
Waxahachhie FD,Pay Plan,08-04-2025,"47,201",Ellis,48/96,,"$79,548.40","$82,730.34","$86,039.55","$89,481.13","$93,060.38","$96,782.79","$96,782.79","$96,782.79","$96,782.79","$96,782.79","$96,782.79","$96,782.79","$96,782.79","$96,782.79","$96,782.79","$96,782.79","$96,782.79","$96,782.79","$96,782.79","$96,782.79","$96,782.79","$527,642.59","$1,011,556.54","$1,495,470.49","$1,979,384.44",Waxahachhie FD,"32.387073695768045, -96.85020589879831"
Wylie FD,Pay Plan,09-25-2025,"61,078",Collin,,,"$80,931.99","$94,059.02","$87,311.01","$90,694.39","$94,211.10","$97,871.11","$101,675.20","$105,632.21","$105,632.21","$105,632.21","$105,632.21","$105,632.21","$105,632.21","$105,632.21","$105,632.21","$105,632.21","$105,632.21","$105,632.21","$105,632.21","$105,632.21","$105,632.21","$545,078.62","$1,069,282.66","$1,597,443.71","$2,125,604.76",Wylie FD,"33.02434679853972, -96.51463980385397"
